titleId,primaryTitle,originalTitle,averageRating,numVotes,startYear,runtimeMinutes,genres,foreignFlag,directors,primaryName
tt0363771,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",6.9,430030,2005,143,"Adventure,Family,Fantasy",false,nm0011470,Andrew Adamson
tt0363780,Lymelife,Lymelife,6.8,14635,2008,95,"Comedy,Drama,Romance",false,nm0553796,Derick Martini
tt0363988,Secret Window,Secret Window,6.5,210343,2004,96,"Drama,Mystery,Thriller",false,nm0462895,David Koepp
tt0364045,Taking Lives,Taking Lives,6.2,95673,2004,103,"Crime,Mystery,Thriller",false,nm0142286,D.J. Caruso
tt0364343,The Final Cut,The Final Cut,6.1,34612,2004,95,"Drama,Sci-Fi,Thriller",false,nm0619715,Omar Naim
tt0364385,Ju-on: The Grudge,Ju-on,6.7,48336,2002,92,Horror,true,nm1234345,Takashi Shimizu
tt0364517,Love Me If You Dare,Jeux d'enfants,7.5,72567,2003,93,"Comedy,Drama,Romance",true,nm1077168,Yann Samuell
tt0364569,Oldboy,Oldeuboi,8.3,640559,2003,120,"Action,Drama,Mystery",true,nm0661791,Park Chan-wook
tt0364725,Dodgeball: A True Underdog Story,Dodgeball: A True Underdog Story,6.7,268525,2004,92,"Comedy,Sport",false,nm1098493,Rawson Marshall Thurber
tt0364955,Art School Confidential,Art School Confidential,6.3,17749,2006,102,"Comedy,Drama,Romance",false,nm0959062,Terry Zwigoff
tt0364961,The Assassination of Richard Nixon,The Assassination of Richard Nixon,6.9,26141,2004,95,"Biography,Crime,Drama",false,nm0007158,Niels Mueller
tt0365376,A Tale of Two Sisters,"Janghwa, Hongryeon",7.1,68627,2003,114,"Drama,Horror,Mystery",true,nm0453518,Kim Jee-woon
tt0365485,The Matador,The Matador,6.7,46489,2005,96,"Comedy,Crime,Thriller",false,nm0791672,Richard Shepard
tt0365675,The Red Baron,Der Rote Baron,6.3,13196,2008,106,"Action,Adventure,Biography",true,nm0618391,Nikolai Müllerschön
tt0365686,Revolver,Revolver,6.3,103434,2005,111,"Action,Crime,Drama",false,nm0005363,Guy Ritchie
tt0365737,Syriana,Syriana,6.9,134699,2005,128,"Drama,Thriller",false,nm0300866,Stephen Gaghan
tt0365748,Shaun of the Dead,Shaun of the Dead,7.9,597083,2004,99,"Comedy,Horror",false,nm0942367,Edgar Wright
tt0365830,Tenacious D in the Pick of Destiny,Tenacious D in The Pick of Destiny,6.8,115592,2006,94,"Adventure,Comedy,Music",true,nm0528381,Liam Lynch
tt0365847,The Myth,San wa,6.1,16373,2005,122,"Action,Adventure,Comedy",true,nm0867262,Stanley Tong
tt0365885,The Upside of Anger,The Upside of Anger,6.8,23108,2005,118,"Comedy,Drama",false,nm0082802,Mike Binder
tt0365907,A Walk Among the Tombstones,A Walk Among the Tombstones,6.5,127662,2014,114,"Action,Crime,Drama",false,nm0291082,Scott Frank
tt0366292,One Missed Call,Chakushin ari,6.2,19416,2003,112,"Horror,Mystery",true,nm0586281,Takashi Miike
tt0366551,Harold & Kumar Go to White Castle,Harold & Kumar Go to White Castle,7.0,206971,2004,88,"Adventure,Comedy",false,nm0500444,Danny Leiner
tt0366627,The Jacket,The Jacket,7.1,119612,2005,103,"Drama,Fantasy,Mystery",false,nm0562266,John Maybury
tt0366777,Millions,Millions,6.8,26407,2004,98,"Comedy,Crime,Drama",false,nm0000965,Danny Boyle
tt0366780,Mirrormask,Mirrormask,6.7,23719,2005,101,"Drama,Fantasy",false,nm0571098,Dave McKean
tt0366840,Okkadu,Okkadu,8.0,10789,2003,171,"Action,Drama,Romance",false,nm0348015,Gunasekhar
tt0367027,Shortbus,Shortbus,6.4,35527,2006,101,"Comedy,Drama,Romance",false,nm0593463,John Cameron Mitchell
tt0367089,The Squid and the Whale,The Squid and the Whale,7.3,90849,2005,81,"Comedy,Drama",false,nm0000876,Noah Baumbach
tt0367110,Swades,"Swades: We, the People",8.2,98924,2004,189,"Drama,Musical",true,nm0332950,Ashutosh Gowariker
tt0367188,Modigliani,Modigliani,7.2,12563,2004,128,"Biography,Drama",false,nm0205169,Mick Davis
tt0367479,After the Sunset,After the Sunset,6.2,50020,2004,97,"Action,Comedy,Crime",false,nm0711840,Brett Ratner
tt0367495,Anbe Sivam,Anbe Sivam,8.6,25496,2003,160,"Adventure,Comedy,Drama",false,nm1326535,Sundar C.
tt0367594,Charlie and the Chocolate Factory,Charlie and the Chocolate Factory,6.7,532123,2005,115,"Adventure,Comedy,Family",false,nm0000318,Tim Burton
tt0367859,The Man Who Copied,O Homem Que Copiava,7.6,11328,2003,124,"Comedy,Crime,Drama",true,nm0299134,Jorge Furtado
tt0367882,Indiana Jones and the Kingdom of the Crystal Skull,Indiana Jones and the Kingdom of the Crystal Skull,6.2,493224,2008,122,"Action,Adventure",false,nm0000229,Steven Spielberg
tt0367913,Ju-On: The Grudge 2,Ju-on 2,6.3,10958,2003,92,"Drama,Fantasy,Horror",true,nm1234345,Takashi Shimizu
tt0367959,Hannibal Rising,Hannibal Rising,6.1,116341,2007,121,"Adventure,Crime,Drama",false,nm0916424,Peter Webber
tt0368008,The Manchurian Candidate,The Manchurian Candidate,6.6,117072,2004,129,"Drama,Mystery,Sci-Fi",false,nm0001129,Jonathan Demme
tt0368222,Romance & Cigarettes,Romance & Cigarettes,6.2,12869,2005,105,"Comedy,Musical,Romance",false,nm0001806,John Turturro
tt0368447,The Village,The Village,6.6,279023,2004,108,"Drama,Mystery,Thriller",false,nm0796117,M. Night Shyamalan
tt0368658,Stage Beauty,Stage Beauty,7.1,10760,2004,106,Drama,false,nm0264236,Richard Eyre
tt0368709,Elizabethtown,Elizabethtown,6.3,72897,2005,123,"Comedy,Drama,Romance",false,nm0001081,Cameron Crowe
tt0368794,I'm Not There,I'm Not There,6.8,61355,2007,135,"Biography,Drama,Music",false,nm0001331,Todd Haynes
tt0368891,National Treasure,National Treasure,6.9,356967,2004,131,"Action,Adventure,Mystery",false,nm0005509,Jon Turteltaub
tt0368909,Ong-Bak: The Thai Warrior,Ong-Bak,7.1,78440,2003,105,"Action,Crime,Thriller",true,nm1272773,Prachya Pinkaew
